name, dam, sire, sex, year
Aethwy Give Me Wings,Aethwy Listen To Your Heart,Aethwy Universal Mind, Female, 2018 
Aethwy Give Peace A Chance,All Trade Zea Dream,Shadowalk Deacon, Male, 2012 
Aethwy Glorius,Trafox Black Seduction,Stafflands Rhodri at Rhiwelli, Male, 2015 
Aethwy Go Down Moses,Trafox Black Seduction,Stafflands Rhodri at Rhiwelli, Male, 2015 
Aethwy God Only Knows,Trafox Black Seduction,Stafflands Rhodri at Rhiwelli, Male, 2015 
Aethwy God Save The Queen,All Trade Zea Dream,Shadowalk Deacon, Female, 2012 
Aethwy Golden Earth Girl,All Trade Zea Dream,Shadowalk Deacon, Female, 2012 
Aethwy Golden Slumbers,All Trade Zea Dream,Shadowalk Deacon, Male, 2012 
Aethwy Good Day Sunshine,All Trade Zea Dream,Shadowalk Deacon, Male, 2012 
Aethwy Good Feeling,Aethwy Listen To Your Heart,Aethwy Universal Mind, Female, 2018 
Aethwy Good Riddance,Trafox Black Seduction,Stafflands Rhodri at Rhiwelli, Female, 2015 
Aethwy Great Pretender,All Trade Zea Dream,Shadowalk Deacon, Male, 2012 
Aethwy Guatemala,Aethwy Listen To Your Heart,Aethwy Universal Mind, Female, 2018 
Aethwy Guitar Man,Trafox Black Seduction,Stafflands Rhodri at Rhiwelli, Male, 2015 
Aethwy Happy,Aethwy Okey To Smile,Aethwy Ultramarine, Male, 2018 
Aethwy Heaven,Aethwy Okey To Smile,Aethwy Ultramarine, Male, 2018 
Aethwy Helena,Aethwy Okey To Smile,Aethwy Ultramarine, Female, 2018 
Aethwy Hero,Aethwy Okey To Smile,Aethwy Ultramarine, Male, 2018 
Aethwy Hollywood,Aethwy Okey To Smile,Aethwy Ultramarine, Male, 2018 
Aethwy Honesty,Aethwy Okey To Smile,Aethwy Ultramarine, Male, 2018 
Aethwy Honey Honey,Aethwy Okey To Smile,Aethwy Ultramarine, Female, 2018 
Aethwy Iceland,Aethwy Somebody To Love,Aethwy Ultramarine, Female, 2018 
Aethwy Iggy,Blondie's Our First Tri,Blondie's Quizmaster, Male, 2007 
Aethwy India,Aethwy Somebody To Love,Aethwy Ultramarine, Female, 2018 
Aethwy Indonesia,Aethwy Somebody To Love,Aethwy Ultramarine, Female, 2018 
Aethwy Infiniti,Blondie's Our First Tri,Blondie's Quizmaster, Female, 2007 
Aethwy Ingrid,Blondie's Our First Tri,Blondie's Quizmaster, Female, 2007 
Aethwy Innuendo,Aethwy Uthark Rune,Stafflands Rhodri at Rhiwelli, Female, 2015 
Aethwy Ireland,Aethwy Somebody To Love,Aethwy Ultramarine, Female, 2018 
Aethwy Irsen,Blondie's Our First Tri,Blondie's Quizmaster, Female, 2007 
Aethwy Irvin,Blondie's Our First Tri,Blondie's Quizmaster, Male, 2007 
Aethwy Irys,Blondie's Our First Tri,Blondie's Quizmaster, Female, 2007 
Aethwy Is This Love,Aethwy Uthark Rune,Stafflands Rhodri at Rhiwelli, Female, 2015 
Aethwy Italy,Aethwy Somebody To Love,Aethwy Ultramarine, Female, 2018 
Aethwy Iton,Blondie's Our First Tri,Blondie's Quizmaster, Male, 2007 
Aethwy Izard,Blondie's Our First Tri,Blondie's Quizmaster, Male, 2007 
Aethwy Keeper Of The Flame,Tamlin Queen Victoria,Gowerston Jazz Singer for Pemcader, Male, 2013 
Aethwy Killer Queen,Tamlin Queen Victoria,Gowerston Jazz Singer for Pemcader, Female, 2013 
Aethwy Kind Of Magic,Tamlin Queen Victoria,Gowerston Jazz Singer for Pemcader, Male, 2013 
Aethwy King Of Hearts,Tamlin Queen Victoria,Gowerston Jazz Singer for Pemcader, Male, 2013 
Aethwy Kyoto Song,Tamlin Queen Victoria,Gowerston Jazz Singer for Pemcader, Female, 2013 
Aethwy Lady Marmalade,Aethwy Aisha,Shadowalk Deacon, Female, 2013 
Aethwy Learn To Fly,Aethwy Aisha,Shadowalk Deacon, Male, 2013 
Aethwy Listen To Your Heart,Aethwy Somebody To Love,Stafflands Rhodri at Rhiwelli, Female, 2016 
Aethwy Living On My Own,Aethwy Somebody To Love,Stafflands Rhodri at Rhiwelli, Male, 2016 
Aethwy London Calling,Aethwy Aisha,Shadowalk Deacon, Male, 2013 
Aethwy Made In Heaven,Aethwy Kyoto Song,Aethwy Universal Mind, Male, 2016 
Aethwy Mamma Mia,Aethwy Kyoto Song,Aethwy Universal Mind, Female, 2016 
Aethwy Midnight Lady,Aethwy Kyoto Song,Aethwy Universal Mind, Female, 2016 
Aethwy Mishel,Aethwy Kyoto Song,Aethwy Universal Mind, Male, 2016 
Aethwy Misty Eyes,Aethwy Kyoto Song,Aethwy Universal Mind, Male, 2016 
Aethwy My Heart Will Go On,Aethwy Kyoto Song,Aethwy Universal Mind, Male, 2016 
Aethwy Name Of The Game,Aethwy Sweet Lady,Stafflands Rhodri at Rhiwelli, Male, 2016 
Aethwy Native Son,Aethwy Bluebird,Shadowalk Deacon, Male, 2013 
Aethwy Natural Blues,Aethwy Bluebird,Shadowalk Deacon, Male, 2013 
Aethwy Naughty Girl,Aethwy Bluebird,Shadowalk Deacon, Female, 2013 
Aethwy Nemo,Aethwy Sweet Lady,Stafflands Rhodri at Rhiwelli, Male, 2016 
Aethwy Never Say Goodbye,Aethwy Bluebird,Shadowalk Deacon, Male, 2013 
Aethwy Neverending Love,Aethwy Sweet Lady,Stafflands Rhodri at Rhiwelli, Female, 2016 
Aethwy New Born At Milend's,Aethwy Bluebird,Shadowalk Deacon, Female, 2013 
Aethwy New Generations,Aethwy Sweet Lady,Stafflands Rhodri at Rhiwelli, Male, 2016 
Aethwy Nice Boys,Aethwy Sweet Lady,Stafflands Rhodri at Rhiwelli, Male, 2016 
Aethwy Night Fever,Aethwy Sweet Lady,Stafflands Rhodri at Rhiwelli, Male, 2016 
Aethwy Nothing Compares To You,Aethwy Sweet Lady,Stafflands Rhodri at Rhiwelli, Male, 2016 
Aethwy Nothing Else Matters,Aethwy Bluebird,Shadowalk Deacon, Male, 2013 
Aethwy November Rain,Aethwy Bluebird,Shadowalk Deacon, Male, 2013 
Aethwy Now And Forever,Aethwy Sweet Lady,Stafflands Rhodri at Rhiwelli, Female, 2016 
Aethwy Nowhere Man,Aethwy Bluebird,Shadowalk Deacon, Male, 2013 
Aethwy Ocean Soul,Kilvroch Demeter At Aethwy,Aethwy Keeper Of The Flame, Male, 2016 
Aethwy Oh My Love,Kilvroch Demeter At Aethwy,Aethwy Keeper Of The Flame, Female, 2016 
Aethwy Okey To Smile,Kilvroch Demeter At Aethwy,Aethwy Keeper Of The Flame, Female, 2016 
Aethwy One In A Million,Kilvroch Demeter At Aethwy,Aethwy Keeper Of The Flame, Female, 2016 
Aethwy Only The Lonely,Kilvroch Demeter At Aethwy,Aethwy Keeper Of The Flame, Female, 2016 
Aethwy Oportunity Nox,Kilvroch Demeter At Aethwy,Aethwy Keeper Of The Flame, Female, 2016 
AETHWY PRINCES OF LIGHT,Aethwy Innuendo,Aethwy Ultramarine, Female, 2017 
Aethwy Rain Must Fall,Aethwy California Dreamin',Shadowalk Deacon, Male, 2013 
Aethwy Rainbow Eyes,Aethwy California Dreamin',Shadowalk Deacon, Female, 2013 
Aethwy Ready Teddy,Aethwy California Dreamin',Shadowalk Deacon, Male, 2013 
Aethwy Real Sugar,Aethwy California Dreamin',Shadowalk Deacon, Female, 2013 
Aethwy Revolution In Paradise,Aethwy California Dreamin',Shadowalk Deacon, Female, 2013 
Aethwy Rocket Man,Aethwy California Dreamin',Shadowalk Deacon, Male, 2013 
Aethwy Rouge et Noir,Aethwy California Dreamin',Shadowalk Deacon, Female, 2013 
Aethwy Ruby Tuesday,Aethwy California Dreamin',Shadowalk Deacon, Female, 2013 
Aethwy Russian Ballerina,Aethwy California Dreamin',Shadowalk Deacon, Female, 2013 
Aethwy Sagittarius,Aethwy Irys,Brookview Silver Dollar At Gowerston, Male, 2010 
Aethwy Sapphirion,Aethwy Irys,Brookview Silver Dollar At Gowerston, Male, 2010 
Aethwy Sea Of Love,Aethwy Irsen,Shadowalk Deacon, Female, 2013 
Aethwy Smoke On The Water,Aethwy Irsen,Shadowalk Deacon, Male, 2013 
Aethwy Solveig Song,Aethwy Irsen,Shadowalk Deacon, Female, 2013 
Aethwy Somebody To Love,Aethwy Irsen,Shadowalk Deacon, Female, 2013 
Aethwy Stairway To Heaven,Aethwy Irsen,Shadowalk Deacon, Male, 2013 
Aethwy Stargazers,Aethwy Irsen,Shadowalk Deacon, Male, 2013 
Aethwy Stormbringer,Aethwy Irsen,Shadowalk Deacon, Male, 2013 
Aethwy Swanheart,Aethwy Irsen,Shadowalk Deacon, Female, 2013 
Aethwy Sweet Lady,Aethwy Irsen,Shadowalk Deacon, Female, 2013 
Aethwy Ultimate Love,Trafox Black Seduction,All Trade Gone Fishing, Female, 2013 
Aethwy Ultra Quiz,Blondie's Our First Tri,Blondie's Quizmaster, Male, 2011 
Aethwy Ultra Violet,Trafox Black Seduction,All Trade Gone Fishing, Female, 2013 
Aethwy Ultramarine,Trafox Black Seduction,All Trade Gone Fishing, Male, 2013 
Aethwy Universal Mind,Trafox Black Seduction,All Trade Gone Fishing, Male, 2013 
Aethwy Urban Cowboy,Trafox Black Seduction,All Trade Gone Fishing, Male, 2013 
Aethwy Uthark Rune,Trafox Black Seduction,All Trade Gone Fishing, Female, 2013 
Aethwy Valhalla,Blondie's Our First Tri,Tokaj-Lisiura Controversia, Female, 2004 
Aethwy Vanilla Ice,Blondie's Our First Tri,Tokaj-Lisiura Controversia, Male, 2004 
Aethwy Vogie,Blondie's Our First Tri,Tokaj-Lisiura Controversia, Male, 2004 
Aethwy Voyager,Blondie's Our First Tri,Tokaj-Lisiura Controversia, Male, 2004 
Aethwy Will Of Fortune,Aethwy Freelove,Aethwy Keeper Of The Flame, Female, 2014 
Aethwy Winds Of Change,Aethwy Freelove,Aethwy Keeper Of The Flame, Male, 2018 
Aethwy Winter Wonderland at Rhiwelli,Aethwy Freelove,Aethwy God Only Knows, Female, 2017 
Aethwy Wonderful Life,Aethwy Freelove,Aethwy Keeper Of The Flame, Female, 2014 
Afara Acer Angelina Maple,Shadowalk P.V. Evensong Afara,Shadowalk Afara Reasonable Doubt, Female, 2002 
Afara Against The Wind,Afara Julianna,Kosmar Striking Back Of Bridgelady, Male, 2013 
Afara All Or Nothing,Afara Julianna,Kosmar Striking Back Of Bridgelady, Male, 2013 
Afara Almost Had It All,Afara Julianna,Kosmar Striking Back Of Bridgelady, Female, 2013 
Afara Althea D'Agincourt CDX RA HSAs MXC MJC OAP OJP MXF MFB TQX T2B,Shadowalk P.V. Evensong Afara,Shadowalk Afara Reasonable Doubt, Female, 2002 
Afara Amarillo By Morning,Shadowalk P.V. Evensong Afara,Shadowalk Afara Reasonable Doubt, Male, 2002 
Afara Amegan Moonshadow,Shadowalk P.V. Evensong Afara,Shadowalk Afara Reasonable Doubt, Female, 2002 
Afara Arthur,Shadowalk P.V. Evensong Afara,Shadowalk Afara Reasonable Doubt, Male, 2002 
Afara Arwyn CDX PT MX MXJ,Shadowalk P.V. Evensong Afara,Shadowalk Afara Reasonable Doubt, Male, 2002 
Afara Benden's Blackjack,,, Male, 2003 
Afara Dont Ask Dont Tell,Afara Zoetrope,Rhydowen Penny Chip ROMs, Male, 2003 
Afara Dont Go There CGC CDX PT HSs,Afara Zoetrope,Rhydowen Penny Chip ROMs, Female, 2003 
Afara Dsamantha CD PT,Afara Zoetrope,Rhydowen Penny Chip ROMs, Female, 2003 
Afara Fanciful Fella,Afara Zoetrope,Paradiddle's Chain Reaction, Male, 2004 
Afara Fiona Fancypants,Afara Zoetrope,Paradiddle's Chain Reaction, Female, 2004 
Afara Forever R Indigo Kid,Afara Zoetrope,Paradiddle's Chain Reaction, Male, 2004 
Afara Frost Dragon,Afara Zoetrope,Paradiddle's Chain Reaction, Male, 2004 
Afara George,,, , 2004 
Afara Gobi's Gusto,,, Male, 2004 
Afara Haleigh V Darksun,Afara Zaphira,Afara Dont Ask Dont Tell, Female, 2005 
Afara Halle,Afara Zaphira,Afara Dont Ask Dont Tell, Female, 2005 
Afara Hawthorne Pepper,Afara Zaphira,Afara Dont Ask Dont Tell, Male, 2005 
Afara Hosanna,Afara Zaphira,Afara Dont Ask Dont Tell, Female, 2005 
Afara Incandescent,Afara Zoetrope,Coedwig's Carbon Blue ROMg, Female, 2005 
Afara Indigo Tache AX AXJ XF,Afara Zoetrope,Coedwig's Carbon Blue ROMg, Male, 2005 
Afara It Had To Be Blue,Afara Zoetrope,Coedwig's Carbon Blue ROMg, Male, 2005 
Afara Janel,Afara Zaphira,Tafarnwr Dreadnaught, Female, 2006 
Afara Jolene,Afara Zaphira,Tafarnwr Dreadnaught, Female, 2006 
Afara Julianna,Afara Zaphira,Tafarnwr Dreadnaught, Female, 2006 
Afara Make A Wish,Afara Zoetrope,Wolfrun Afara Far and Away, Female, 2007 
Afara Make It So CD RN PT,Afara Zoetrope,Wolfrun Afara Far and Away, Male, 2007 
Afara Never Been So Blue,Afara Incandescent,Wolfrun Afara Far and Away, Female, 2008 
Afara Not A Day Goes By,Afara Incandescent,Wolfrun Afara Far and Away, Female, 2008 
Afara Now Or Never,Afara Incandescent,Wolfrun Afara Far and Away, Male, 2008 
Afara Olivia,Afara Julianna,Afara Now Or Never, Female, 2009 
Afara Once Upon A Time,Afara Julianna,Afara Now Or Never, Female, 2009 
Afara Only One Ollie,Afara Julianna,Afara Now Or Never, Male, 2009 
Afara Paper Airplane BN RN CD CGCA,Afara Jolene,Afara Now Or Never, Male, 2009 
Afara Paper Rock Scissors,Afara Jolene,Afara Now Or Never, Male, 2009 
Afara Patchwork Spice,Afara Jolene,Afara Now Or Never, Female, 2009 
Afara Pendleton,Afara Jolene,Afara Now Or Never, Male, 2009 
Afara Quintessential,Afara Zaphira,Coedwig's Malachite RN HXAds STDc HTADIIIds OTDc ATDds HTDI-D,S VC ROMG, Female, 2010 
Afara Sealed With A Kiss,Afara Jolene,Coedwig's Malachite RN HXAds STDc HTADIIIds OTDc ATDds HTDI-D,S VC ROMG, Female, 2011 
Afara Send In The Clowns,Afara Jolene,Coedwig's Malachite RN HXAds STDc HTADIIIds OTDc ATDds HTDI-D,S VC ROMG, Male, 2011 
Afara Shadowalk Radio Flyer,Phi-Vestavia Glad Rags,Coedwig's Vestavia Luminescence CDX RAE PT OA OAJ OAP OJP ROMg, Male, 2000 
Afara Shadowalk Rubyfruitjunble,Phi-Vestavia Glad Rags,Coedwig's Vestavia Luminescence CDX RAE PT OA OAJ OAP OJP ROMg, Female, 2000 
Afara Sledge,Afara Jolene,Coedwig's Malachite RN HXAds STDc HTADIIIds OTDc ATDds HTDI-D,S VC ROMG, Male, 2011 
Afara Some Kinda Wonderful,Afara Jolene,Coedwig's Malachite RN HXAds STDc HTADIIIds OTDc ATDds HTDI-D,S VC ROMG, Male, 2011 
Afara Tresor de la Neige HCT,Afara Make A Wish,Xtacee Dancin In The Moonlight, Female, 2011 
Afara U Make Me Feel So Young,Deverry Afara Nemue,Coedwig's Unwavering Protector PT, Male, 2010 
Afara Ultraviolet,Deverry Afara Nemue,Coedwig's Unwavering Protector PT, Female, 2010 
Afara Xsasha Cornerstone,Afara Julianna,Pawcific Signed Sealed Delivered, Female, 2011 
Afara Xxpect A Storm,Afara Julianna,Pawcific Signed Sealed Delivered, Male, 2011 
Afara Zaphira,Shadowalk P.V. Evensong Afara,Shadowalk Kraeken Afara, Female, 2001 
Afara Zardoz,Shadowalk P.V. Evensong Afara,Shadowalk Kraeken Afara, Male, 2001 
Afara Zeitgeist,Shadowalk P.V. Evensong Afara,Shadowalk Kraeken Afara, Male, 2001 
Afara Zelda,Shadowalk P.V. Evensong Afara,Shadowalk Kraeken Afara, Female, 2001 
Afara Zen,Shadowalk P.V. Evensong Afara,Shadowalk Kraeken Afara, Female, 2001 
Afara Zena,Shadowalk P.V. Evensong Afara,Shadowalk Kraeken Afara, Female, 2001 
Afara Zenith,Shadowalk P.V. Evensong Afara,Shadowalk Kraeken Afara, Male, 2001 
Afara Zinnia,Shadowalk P.V. Evensong Afara,Shadowalk Kraeken Afara, Female, 2001 
Afara Zoetrope,Shadowalk P.V. Evensong Afara,Shadowalk Kraeken Afara, Female, 2001 
Afara Zydeco AXP AJP,Shadowalk P.V. Evensong Afara,Shadowalk Kraeken Afara, Male, 2001 
Affectionate Hug,Mal Bagushy Patricia,Apriori Vip Shimmer Of Sunset, Male, 2018 
Affrica on my Mind,Rusty Gaucho,Cool Breezer for Jazenta Gaucho, Male, 2014 
Afonmarlais Bet,Megan o'r Voel,Shemin, Female, 1947 
Afonmarlais Lou,Afonmarlais Bet,Marlais Premier, Female, 
Afonmarlais Peter,Brenhines Afonmarlais,Afonmarlais Prince, Male, 1953 
Afonmarlais Prince,Etifeddes,Shemin, Male, 1947 
Afonmarlais Spark,Afonmarlais Lou,Afonmarlais Prince, Male, 1952 
Afonwen Amore,Bircardi Miss Moneypenny,Afonwen Monteiths Black, Female, 2012 
Afonwen Bellevue Kriek,Afonwen Im Countin Onu,Bethwyn Hahn Ice, Female, 2013 
Afonwen Im Countin Onu,Welshcrest Charm N Grace,Beckrow Brenning with Pemcader, Female, 2006 
Afonwen Luvs Two Dance,Bircardi Miss Moneypenny,Afonwen Monteiths Black, Female, 2012 
Afonwen Luvs Two Win,Bircardi Miss Moneypenny,Afonwen Monteiths Black, Male, 2012 
Afonwen Monteiths Black,Afonwen Im Countin Onu,Bethwyn Hahn Ice, Male, 2010 
Afonwen Run N On Cold,Welshcrest Charm N Grace,Kelocard Hot N Spicy, Male, 2007 
Afonwen Up The Ante,Afonwen Amore,Afonwen Run N On Cold, Female, 2014 
Afra von der M�nchner Peripherie,Chika-Rozavel zur Coerm�hle,Downholme Red Dragon, Female, 1979 
Afrodita Morskaya Pena,Dafné Gyvates Asara,Brynlluan The Sorcerer, Female, 2018 
Afrodite,Verdidas Aberdeen,Deavitte Oakleaf, Female, 1997 
Afrodite,Imago's One Pretty Finn,Imago's Xmas Party, Female, 2010 
Afrodite Tailorscardi,Beautiful Dream Kasmir Moravia,Hashfan Villfred, Female, 2017 
Againisablack,Giorsal Gwenda,Druidwood Celticblackcamelot, , 1997 
Agata Corlan Gi,Bryn Mawr Lisiura,Beckrow Beg to Differ, Male, 2000 
Agata E La Tempesta Nera,Tuttiki Iduna-Vita Rustica,Glynaeron Gwron Glas, Female, 2014 
Agatha Christie La Caverne des Anges,Fest Batida,Gowerston Blue Print, Female, 2005 
Agawop Airdrie Acer Of Halin,,, Male, 1986 
Agawop Baldon Blue Trinket,Agawop Topwyn Poppycock,Barr Mouska Blue Of Glenjoy CD, Female, 1981 
Agawop Baldons Playin Possum,Agawop Topwyn Poppycock,Barr Mouska Blue Of Glenjoy CD, Female, 1983 
Agawop Bittersweet,,, Female, 1982 
Agawop Blue Beard,,, Male, 1980 
Agawop Blue Delphinium,Tracer's Misty Dawn Of Agawop CD,Topwyn Rogue Minstrel Man, Female, 1978 
Agawop Brodinhoffer CD,Agawop Hollyhock,Aspin Skii Of Coedwig CD, Male, 1981 
Agawop Chum Aspen Blue,Tracer's Misty Dawn Of Agawop CD,Aspin Skii Of Coedwig CD, Male, 1979 
Agawop Country Columbine,Agawop Hollyhock,Agawop Karaway Coriander, Male, 1984 
Agawop Countryside Alyssum,,, Female, 1986 
Agawop Four O'clock,Agawop Hollyhock,Aspin Skii Of Coedwig CD, Male, 1981 
Agawop Harlequin Heather,,, Female, 1981 
Agawop Hollyhock,Tracer's Misty Dawn Of Agawop CD,Topwyn Rogue Minstrel Man, Female, 1978 
Agawop Incrediblue,Tracer's Misty Dawn Of Agawop CD,Aspin Skii Of Coedwig CD, Male, 1979 
Agawop Joshua Jones,,, Male, 1980 
Agawop Karaway Burnet,Agawop Morning Glory,Aspin Skii Of Coedwig CD, Male, 1982 
Agawop Karaway Coriander,Agawop Morning Glory,Aspin Skii Of Coedwig CD, Male, 1982 
Agawop Karaway Kavic,Tracer's Misty Dawn Of Agawop CD,Aspin Skii Of Coedwig CD, Male, 1979 
Agawop Karaway Tansy,Agawop Morning Glory,Aspin Skii Of Coedwig CD, Female, 1982 
Agawop Morning Glory,Tracer's Misty Dawn Of Agawop CD,Topwyn Rogue Minstrel Man, Female, 1978 
Agawop Notorious,,, Female, 1980 
Agawop Schemer Scamper,Agawop Hollyhock,Aspin Skii Of Coedwig CD, Male, 1981 
Agawop Topwyn Cherry,Winsdown Topwyn Blue Amulet,Topwyn Rogue Minstrel Man, Female, 1980 
Agawop Topwyn Coreopsis,Winsdown Topwyn Blue Amulet,Winsdown Blue Bracken, Male, 1978 
Agawop Topwyn Dusty Miller,Winsdown Topwyn Blue Amulet,Winsdown Blue Bracken, Male, 1978 
Agawop Topwyn Poppycock,Winsdown Topwyn Blue Amulet,Topwyn Rogue Minstrel Man, Female, 1980 
Agawop's Aspen Blue Vortigern,Tracer's Misty Dawn Of Agawop CD,Aspin Skii Of Coedwig CD, Male, 1979 
Agawop's Sadie Of Hawkins CDX TDX,Tracer's Misty Dawn Of Agawop CD,Aspin Skii Of Coedwig CD, Female, 1979 
Agicard's Afrodite,Mandylay's Noelle,Region's Evening Joyker, Female, 2000 
Agicard's Akhilleus,Mandylay's Noelle,Region's Evening Joyker, Male, 2000 
Agicard's Antonius,Mandylay's Noelle,Region's Evening Joyker, Male, 2000 
Agicard's Apollon,Mandylay's Noelle,Region's Evening Joyker, Male, 2000 
Agicard's Artemis,Mandylay's Noelle,Region's Evening Joyker, Female, 2000 
Agicard's Athene,Mandylay's Noelle,Region's Evening Joyker, Female, 2000 
Agicard's Bomber Bee,Agicard's Afrodite,Big-Wood's Kiwi DJ, Male, 2005 
Agicard's Bumblebee,Agicard's Afrodite,Big-Wood's Kiwi DJ, Female, 2005 
Agicard's Bunny Bee,Agicard's Afrodite,Big-Wood's Kiwi DJ, Female, 2005 
Agicard's Buster Bug,Agicard's Afrodite,Big-Wood's Kiwi DJ, Male, 2005 
Agicard's Buster Bunny,Agicard's Afrodite,Big-Wood's Kiwi DJ, Male, 2005 
Agicard's Busy Honeybee,Agicard's Afrodite,Big-Wood's Kiwi DJ, Female, 2005 
Agicard's Columba Livia,Agicard's Bumblebee,Moonwalker, Female, 2009 
Agicard's Columba Palumbus,Agicard's Bumblebee,Moonwalker, Female, 2009 
Agicard's Corvus Corax,Agicard's Bumblebee,Moonwalker, Male, 2009 
Agicard's Corvus Corone,Agicard's Bumblebee,Moonwalker, Male, 2009 
Agicard's Don't Dream It Be It,Agicard's Bumblebee,Gowerston Diesel, Male, 2012 
Agicard's Dream About You,Agicard's Bumblebee,Gowerston Diesel, Female, 2012 
Agicard's Fool Joke,Agicard's Dream About You,Hova Bonde's Gil Grissom, Male, 2018 
AGICOR RUMCAJS ROZB�JNIK,Mandylay's Whoopi Goldberg,Bertram Corlan Gi, Male, 2013 
Aglaia vom Ghei,Floatin' Bronant Bronmai,Kincroft Kaitangata, Female, 2008 
Agnello Pasquale,,, , 
Agnello Pasquale,Uszaki Lets Dance,Coedwig's Malachite RN HXAds STDc HTADIIIds OTDc ATDds HTDI-D,S VC ROMG, Male, 2018 
Ahoj Lisiura z Irexu,Brawos Bis Dzierlatka Lisiura,Geestland's Solo Song, Female, 2009 
Ahti,Imago's One Pretty Finn,Imago's Xmas Party, Male, 2010 
Aias,Hashfan Parvoline Plaz,Greg's Boy of Robgwen, Male, 1986 
Aida de Tichelaar Corgi's,Alana from the Stone of Scone,Courtly's Brindle Lord Vaka Bangsi, Female, 2010 
Aiden of the Isles,Rusty Gaucho,Cool Breezer for Jazenta Gaucho, Male, 2014 
Ailinn Shining Sirius,Fest Delicja,Damian Corlan Gi, Female, 2010 
Ailla Beautiful Joy of Life,Charista Corlan Gi,Joy Transfer Hogarth Blue Horizon, Female, 2015 
Aimee Blue Morning Glory CD HT,Kalamity Aimee Blue Gardenia UD,Coedwig's Black Ice, Female, 2000 
Aimee Legend Of Sleepy Hollow,Kalamity Aimee Blue Camillia,Agawop Brodinhoffer CD, Male, 1989 
Aimee Plum Pudding,Kalamity Aimee Blue Camillia,Agawop Brodinhoffer CD, Female, 1989 
Aimee Swamp Fox,Aimee Plum Pudding,Springshire's Jumping Jack, Female, 1992 
Aimee's War Lord of Dorre Don,Dorre Don Serchus Of Winsdown UD ROMs,Pera Brigwyn Blue UD TD ROMs, Male, 1972 
Aimy Kasmir Moravia,Rotshcard Auronelain,Highlander Cymraeg Ci, Female, 2011 
Ain'T Such A Saint-Nick,,, Male, 2005 
Aine Shining Sirius,Fest Delicja,Damian Corlan Gi, Female, 2010 
Aini Damia of Valley of Respite,Cymreiges Cirila Du Shining Sirius,Brastias Shining Sirius, Female, 2017 
Air Bubble Welsh Magic,Darmania z Irexu,Analog CC Back In Black, Female, 2016 
Airborn Antares Von Plątonogi,LOVE SHAKE Z Jurajskiego Zamku,Sen Srebrny  Salomei Lisiura, Male, 2018 
Airborn Casper Von Plątonogi,LOVE SHAKE Z Jurajskiego Zamku,Sen Srebrny  Salomei Lisiura, Male, 2018 
AIRBORN CASPER Von Platonogi,,, , 
Airborn Challenger Von Plątonogi,LOVE SHAKE Z Jurajskiego Zamku,Sen Srebrny  Salomei Lisiura, Female, 2018 
Airborn Columbia Von Plątonogi,LOVE SHAKE Z Jurajskiego Zamku,Sen Srebrny  Salomei Lisiura, Female, 2018 
Airborn Falcon Von Plątonogi,LOVE SHAKE Z Jurajskiego Zamku,Sen Srebrny  Salomei Lisiura, Male, 2018 
Airborn Odyssey Von Plątonogi,LOVE SHAKE Z Jurajskiego Zamku,Sen Srebrny  Salomei Lisiura, Male, 2018 
Airborn Orion Von Plątonogi,LOVE SHAKE Z Jurajskiego Zamku,Sen Srebrny  Salomei Lisiura, Female, 2018 
Airborn Snoopy Von Plątonogi,LOVE SHAKE Z Jurajskiego Zamku,Sen Srebrny  Salomei Lisiura, Male, 2018 
AIRBORN Von Plątonogi,LOVE SHAKE Z Jurajskiego Zamku,Sen Srebrny  Salomei Lisiura, Female, 2018 
Airdrie Accounts Payable,Kennebec Red Oak Ruffian,Kentwood Owain, Male, 2001 
Airdrie Agawop Intrepid,Agawop Hollyhock,Agawop Incrediblue, Male, 1982 
Airdrie Agawop Tonka Tuff,Agawop Hollyhock,Agawop Incrediblue, Male, 1982 
Airdrie Agwop Northwood Kodi,Countryside Crimson Tide,Airdrie's Rockland Arrow CD, Male, 1984 
Airdrie Almost An Angel,Airdrie Country Althea Rosea,Kennebec Ice Anchor ROMg, Male, 1991 
Airdrie Andromeda,Kennebec Red Oak Ruffian,Kentwood Owain, Female, 2001 
Airdrie Angel Eyes,Airdrie Country Althea Rosea,Kennebec Ice Anchor ROMg, Female, 1991 
Airdrie Angel Wings,Airdrie Country Althea Rosea,Kennebec Ice Anchor ROMg, Female, 1991 
Airdrie Black Ice,Airdrie Evening Shade,Airdrie Almost An Angel, Male, 1997 
Airdrie Blonde Ambition,Airdrie Pretty in Pink,Phi-Vestavia Stork Drop, Female, 2003 
Airdrie Blue Dhevil,Karaway Dill Of Airdrie,Topwyn's Nothin Better ROMb, Male, 1984 
Airdrie Blue Sunset,Sunset's Winston Airdrie,Airdrie Blue Dhevil, Male, 1992 
Airdrie Blueberry Sunset,Sunset's Winston Airdrie,Airdrie Blue Dhevil, Female, 1992 
Airdrie Country Althea Rosea,Agawop Hollyhock,Airdrie Agwop Northwood Kodi, Female, 1985 
Airdrie Country Holiday,Agawop Hollyhock,Agawop Karaway Coriander, Female, 1984 
Airdrie Dare To Be Different CD CGC,Airdrie Country Althea Rosea,Pluperfect Prussian, Male, 1989 
Airdrie Evening Shade,Airdrie Angel Wings,Kentwood Owain, Female, 1994 
Airdrie Fantasia,Airdrie Country Holiday,Airdrie Agwop Northwood Kodi, Female, 1987 
