name, dam, sire, sex, year
Aasteds Take A Chance On Me,Vistruphus Haldora,Hova Bonde's Leroy Jethro Gibbs, Female, 2018 
Aasteds Thunderball,Avonaire Kindred Spirit,Nickname's Bluecamouflage To Cardax, Male, 2013 
Aasteds Twist And Shout,Bobass Aya,Georgeous George Controversia, Male, 2010 
Aatu,Imago's One Pretty Finn,Imago's Xmas Party, Male, 2010 
Abarta Shining Sirius,Fest Delicja,Damian Corlan Gi, Female, 2010 
Abba Zgrabna Controversia,Uchachana Uchatka Controversia,Faarup Kawasaki, Female, 2012 
Abbey Kasmir Moravia,Rotshcard Auronelain,Highlander Cymraeg Ci, Female, 2011 
Abbey Lige Godlove,Chandler's Pym Of Pluperfect,Pluperfect Pennywise ROMs, Female, 1996 
Abbie,Faarup Yuppie,Antoc Backbencher, Female, 2007 
Abby,,, Female, 2002 
Abby Blue Dominquez,Larchmonts Brynna,Shadowalk PV Eclipse Afara, Female, 2000 
Abby Jones,Chandler's Pym Of Pluperfect,Pluperfect Garvins Peerless ROMb, Female, 1992 
Abby Of The Brave Corner,Twymyn of the Green Beret,Lees Blackberry, Female, 
Abby Pia Til Heddy,Cardelin's Happy Heddy,Cardelin's Great Gulliver, Female, 1993 
Abby Road Camden's Cardif CD,Eu Ben Oaks Jubilee,Dilwel Gwersyll, Female, 1970 
Abby Road Gold Dust,,, Female, 1971 
Abby Road Goldwyn Of Dahl Farm,,, Female, 
Abby Road Kiska Of Trujer,Trudi Ap Falcon Heights,Dilwel Gwersyll, Female, 1969 
Abby Road Little Joe,,, Male, 1972 
Abby Tailorscardi,Beautiful Dream Kasmir Moravia,Hashfan Villfred, Female, 2017 
Abbygail v.d. Bockmuhl,Floatin' Pollyanna,Indiana Jones Earl v.d Griffelhof, Female, 1996 
Abcar Prins v.d. Griffelhof,Cymro's Magic Lady,Robgwen Something Special, Male, 1987 
Abel,Faarup Yuppie,Antoc Backbencher, Male, 2007 
Abel of Maurilyn,Sweet Ja-Rae of Kimchella,Dark Dandy of Kolguer, Male, 1971 
Aber's Little Blue Fitchman,Schmitt's My Blue Skies,Gatewyns Art of Styles, Male, 2001 
Aberaeron McTrent,Gwynedd Ffraid,Yr Ddraig Goch, Male, 1967 
Aberdare,Rhydowen Remy Julienne ROMb,Kentwood Luc ROMg, Male, 1991 
Aberdare I'm Rhydowen High,Rhydowen Remy Julienne ROMb,Kentwood Luc ROMg, Female, 1993 
Aberdare II,Toromar Elizabeth,Toromar Bromley, Female, 1994 
Aberdare Isabella,Rhydowen Remy Julienne ROMb,Kentwood Luc ROMg, Female, 1993 
Aberdare Mr Pip Of Rhydowen,Rhydowen Remy Julienne ROMb,Kentwood Luc ROMg, Male, 1991 
Aberdare Rhydowen Doppler,Rhydowen Remy Julienne ROMb,Kentwood Luc ROMg, Male, 1991 
Aberdare Rhydowen My Fashen,Rhydowen Remy Julienne ROMb,Kentwood Luc ROMg, Male, 1991 
Aberdare Ruppert Morris,Rhydowen Remy Julienne ROMb,Kentwood Luc ROMg, Male, 1993 
Aberdovey,Aberdovey's Queen Rocky Top,Trailwyn Aberdovey Uotobnpix, Female, 1999 
Aberdovey Anglesey Primrose,Aberdovey Hey Jude Rhydowen,Kentwood Mintys, Female, 1996 
Aberdovey Benign Ruler,Pluperfect Prim N' Proper,Vestavia's Marcus Aurelius, Male, 1989 
Aberdovey Bentley,Pluperfect Prim N' Proper,Kentwood Luc ROMg, Male, 1990 
Aberdovey Bess,Pluperfect Prim N' Proper,Kentwood Luc ROMg, Female, 1990 
Aberdovey Black Moon Kinser,Rhydowen's Formal Affair,Locksleyhall Laird ROMg, Male, 1989 
Aberdovey Bradley,Grangefield Inquisitive,Llandaff Harlem Fox Trot (AI) RN, Male, 2007 
Aberdovey Cadnuclun Harlem Nocturne,Cadnoclun Aberdovey Lily Of The Valley,Aberdovey Harlem Globe Trotter, Female, 2013 
Aberdovey Cavalryman,Aberdovey Hey Jude Rhydowen,Kentwood Mintys, Male, 1996 
Aberdovey Cody,Aberdovey Elite Designer Lil,Sisterwood's Winsome Will ROMs, Female, 1999 
Aberdovey Donna Karan,Aberdovey Elite Designer Lil,Sisterwood's Winsome Will ROMs, Female, 1999 
Aberdovey Elite Designer Lil,Rhydowen Elite Designer,Zircon's Jack of Hearts AM CD ROMb, Female, 1993 
Aberdovey Genevieve,Aberdovey's Primped N' Proper,Rhydowen Cymric, Female, 1994 
Aberdovey Guinevere,Pluperfect Prim N' Proper,Kentwood Luc ROMg, Female, 1990 
Aberdovey Harlem Globe Trotter,Grangefield Inquisitive,Llandaff Harlem Fox Trot (AI) RN, Male, 2007 
Aberdovey Hey Jude Rhydowen,Pluperfect Prim N' Proper,Kentwood Luc ROMg, Female, 1990 
Aberdovey Kee Bear Ms Marcus,Aberdovey's Queen Rocky Top,Trailwyn Aberdovey Uotobnpix, Female, 1999 
Aberdovey La Femme Nikita,Aberdovey Elite Designer Lil,Sisterwood's Winsome Will ROMs, Female, 1998 
Aberdovey Lady Short Stuff,Pluperfect Prim N' Proper,Kentwood Luc ROMg, Female, 1990 
Aberdovey Lord Tristan Glynn,,, Male, 1985 
Aberdovey Mclea Heartbreaker,Grangefield Inquisitive,Llandaff Harlem Fox Trot (AI) RN, Female, 2007 
Aberdovey Midnight Macduff,Happy's Garnet,Vestavia's Marcus Aurelius, Male, 1986 
Aberdovey Oreo,Aberdovey's Queen Rocky Top,Trailwyn Aberdovey Uotobnpix, Male, 1999 
Aberdovey Play It Again Sam,Aberdovey's Coco Chanel,Sno-Shu Grizzly Bear ROMb, Male, 2002 
Aberdovey Rhiannon Rhydowen,Aberdovey Hey Jude Rhydowen,Kentwood Mintys, Female, 1996 
Aberdovey Rhydowen Life Of R,Aberdovey Hey Jude Rhydowen,Kentwood Mintys, Male, 1996 
Aberdovey Rock Of Steel Too,Aberdovey Hey Jude Rhydowen,Kentwood Mintys, Male, 1996 
Aberdovey Saks Fifth Avenue,Aberdovey Elite Designer Lil,Sisterwood's Winsome Will ROMs, , 1999 
Aberdovey Sangre Azul,Pluperfect Prim N' Proper,Rhydowen Cymric, Male, 1993 
Aberdovey Shamus Irons,Aberdovey's Primped N' Proper,Rhydowen Cymric, Male, 1994 
